type,variable,objetmetier,valeur,saisie,sessions,uri
adonis.modeleMetier.saisieTerrain:MesureVariableEntiere,['test:/1/@variables.0'],['test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.12/@individus.0'],2,1.0,0.0,test:/1/@sessions.0/@mesurevariables.24
adonis.modeleMetier.saisieTerrain:MesureVariableEntiere,['test:/1/@variables.1'],['test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.12/@individus.0'],2,1.0,0.0,test:/1/@sessions.0/@mesurevariables.25
adonis.modeleMetier.saisieTerrain:MesureVariableEntiere,['test:/1/@variables.0'],['test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.13/@individus.0'],2,1.0,0.0,test:/1/@sessions.0/@mesurevariables.26
adonis.modeleMetier.saisieTerrain:MesureVariableEntiere,['test:/1/@variables.1'],['test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.13/@individus.0'],1,1.0,0.0,test:/1/@sessions.0/@mesurevariables.27
adonis.modeleMetier.saisieTerrain:MesureVariableEntiere,['test:/1/@variables.0'],['test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.14/@individus.0'],2,1.0,0.0,test:/1/@sessions.0/@mesurevariables.28
adonis.modeleMetier.saisieTerrain:MesureVariableEntiere,['test:/1/@variables.1'],['test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.14/@individus.0'],2,1.0,0.0,test:/1/@sessions.0/@mesurevariables.29
adonis.modeleMetier.saisieTerrain:MesureVariableEntiere,['test:/1/@variables.0'],['test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.15/@individus.0'],2,1.0,0.0,test:/1/@sessions.0/@mesurevariables.30
adonis.modeleMetier.saisieTerrain:MesureVariableEntiere,['test:/1/@variables.1'],['test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.15/@individus.0'],2,1.0,0.0,test:/1/@sessions.0/@mesurevariables.31
adonis.modeleMetier.saisieTerrain:MesureVariableEntiere,['test:/1/@variables.0'],['test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.16/@individus.0'],2,1.0,0.0,test:/1/@sessions.0/@mesurevariables.32
adonis.modeleMetier.saisieTerrain:MesureVariableEntiere,['test:/1/@variables.1'],['test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.16/@individus.0'],3,1.0,0.0,test:/1/@sessions.0/@mesurevariables.33
adonis.modeleMetier.saisieTerrain:MesureVariableEntiere,['test:/1/@variables.0'],['test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.17/@individus.0'],2,1.0,0.0,test:/1/@sessions.0/@mesurevariables.34
adonis.modeleMetier.saisieTerrain:MesureVariableEntiere,['test:/1/@variables.1'],['test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.17/@individus.0'],2,1.0,0.0,test:/1/@sessions.0/@mesurevariables.35
adonis.modeleMetier.saisieTerrain:MesureVariableEntiere,['test:/1/@variables.0'],['test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.18/@individus.0'],,1.0,0.0,test:/1/@sessions.0/@mesurevariables.36
adonis.modeleMetier.saisieTerrain:MesureVariableEntiere,['test:/1/@variables.1'],['test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.18/@individus.0'],,1.0,0.0,test:/1/@sessions.0/@mesurevariables.37
adonis.modeleMetier.saisieTerrain:MesureVariableEntiere,['test:/1/@variables.0'],['test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.19/@individus.0'],,1.0,0.0,test:/1/@sessions.0/@mesurevariables.38
adonis.modeleMetier.saisieTerrain:MesureVariableEntiere,['test:/1/@variables.1'],['test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.19/@individus.0'],,1.0,0.0,test:/1/@sessions.0/@mesurevariables.39
adonis.modeleMetier.saisieTerrain:MesureVariableEntiere,['test:/1/@variables.0'],['test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.20/@individus.0'],3,1.0,0.0,test:/1/@sessions.0/@mesurevariables.40
adonis.modeleMetier.saisieTerrain:MesureVariableEntiere,['test:/1/@variables.1'],['test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.20/@individus.0'],3,1.0,0.0,test:/1/@sessions.0/@mesurevariables.41
adonis.modeleMetier.saisieTerrain:MesureVariableEntiere,['test:/1/@variables.0'],['test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.21/@individus.0'],3,1.0,0.0,test:/1/@sessions.0/@mesurevariables.42
adonis.modeleMetier.saisieTerrain:MesureVariableEntiere,['test:/1/@variables.1'],['test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.21/@individus.0'],3,1.0,0.0,test:/1/@sessions.0/@mesurevariables.43
adonis.modeleMetier.saisieTerrain:MesureVariableEntiere,['test:/1/@variables.0'],['test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.22/@individus.0'],2,1.0,0.0,test:/1/@sessions.0/@mesurevariables.44
adonis.modeleMetier.saisieTerrain:MesureVariableEntiere,['test:/1/@variables.1'],['test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.22/@individus.0'],1,1.0,0.0,test:/1/@sessions.0/@mesurevariables.45
adonis.modeleMetier.saisieTerrain:MesureVariableEntiere,['test:/1/@variables.0'],['test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.23/@individus.0'],2,1.0,0.0,test:/1/@sessions.0/@mesurevariables.46
adonis.modeleMetier.saisieTerrain:MesureVariableEntiere,['test:/1/@variables.1'],['test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.23/@individus.0'],3,1.0,0.0,test:/1/@sessions.0/@mesurevariables.47
adonis.modeleMetier.saisieTerrain:MesureVariableEntiere,['test:/1/@variables.0'],['test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.24/@individus.0'],2,1.0,0.0,test:/1/@sessions.0/@mesurevariables.48
adonis.modeleMetier.saisieTerrain:MesureVariableEntiere,['test:/1/@variables.1'],['test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.24/@individus.0'],1,1.0,0.0,test:/1/@sessions.0/@mesurevariables.49
adonis.modeleMetier.saisieTerrain:MesureVariableEntiere,['test:/1/@variables.0'],['test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.25/@individus.0'],,1.0,0.0,test:/1/@sessions.0/@mesurevariables.50
adonis.modeleMetier.saisieTerrain:MesureVariableEntiere,['test:/1/@variables.1'],['test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.25/@individus.0'],,1.0,0.0,test:/1/@sessions.0/@mesurevariables.51
adonis.modeleMetier.saisieTerrain:MesureVariableEntiere,['test:/1/@variables.0'],['test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.26/@individus.0'],2,1.0,0.0,test:/1/@sessions.0/@mesurevariables.52
adonis.modeleMetier.saisieTerrain:MesureVariableEntiere,['test:/1/@variables.1'],['test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.26/@individus.0'],3,1.0,0.0,test:/1/@sessions.0/@mesurevariables.53
adonis.modeleMetier.saisieTerrain:MesureVariableEntiere,['test:/1/@variables.0'],['test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.27/@individus.0'],,1.0,0.0,test:/1/@sessions.0/@mesurevariables.54
