combinaisons,nom,nomcourt,nbrepetitions,plateforme,dispositifs,protocoles,uri
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.35'],14_12,36,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.35
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.36'],2_2,37,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.36
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.37'],4_2,38,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.37
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.38'],27_3,39,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.38
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.39'],5_1,40,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.39
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.40'],12_1,41,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.40
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.41'],13_5,42,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.41
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.42'],13_63,43,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.42
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.43'],25_1,44,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.43
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.44'],27_6,45,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.44
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.45'],14_13,46,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.45
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.46'],11_1,47,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.46
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.47'],16_4,48,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.47
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.48'],38_3,49,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.48
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.49'],13_7,50,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.49
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.50'],14_14,51,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.50
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.51'],16_5,52,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.51
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.52'],27_7,53,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.52
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.53'],11_2,54,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.53
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.54'],14_15,55,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.54
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.55'],16_7,56,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.55
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.56'],1_4,57,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.56
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.57'],27_8,58,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.57
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.58'],18_5,59,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.58
